,LotShape,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PoolQC,Fence,MSZoning,Street,Alley,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,PavedDrive,MiscFeature,SaleType,SaleCondition,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Garage
10,0,0,2,2,3,3,1,3,1,4,2,7,0,1,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,11,20,70.0,11200,5,5,1965,1965,0.0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2,2008,1
11,1,0,4,2,5,3,1,6,1,4,4,7,4,3,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,New,Partial,12,60,85.0,11924,9,5,2005,2006,286.0,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,7,2006,1
12,2,0,2,2,3,3,1,5,1,2,2,7,0,1,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,13,20,,12968,5,6,1962,1962,0.0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,2008,1
13,1,0,3,2,4,3,3,1,1,4,3,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,New,Partial,14,20,91.0,10652,7,5,2006,2007,306.0,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,8,2007,1
14,1,0,2,2,3,3,1,4,1,2,2,7,2,2,3,3,0,2,RL,Pave,No alley access,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,15,20,,10920,6,5,1960,1960,212.0,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,2008,1
15,0,0,2,2,3,3,1,1,1,4,2,7,0,1,3,3,0,4,RM,Pave,No alley access,Lvl,AllPub,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,FuseA,Detchd,Y,None,WD,Normal,16,45,51.0,6120,7,8,1929,2001,0.0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,7,2007,1
16,1,0,2,2,3,3,1,5,1,4,2,7,3,3,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,Shed,WD,Normal,17,20,,11241,6,7,1970,1970,180.0,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,2010,1
17,0,0,2,2,0,0,0,0,0,2,2,7,0,1,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,Slab,GasA,Y,SBrkr,CarPort,Y,Shed,WD,Normal,18,90,72.0,10791,4,5,1967,1967,0.0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,2006,1
18,0,0,2,2,3,3,1,6,1,4,3,7,0,1,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,19,20,66.0,13695,5,5,2004,2004,0.0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,6,2008,1
19,0,0,2,2,3,3,1,2,1,2,2,6,0,1,3,3,0,3,RL,Pave,No alley access,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,COD,Abnorml,20,20,70.0,7560,5,6,1958,1965,0.0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,5,2009,1
20,1,0,3,2,5,3,3,1,1,4,3,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Corner,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,New,Partial,21,60,101.0,14215,8,5,2005,2006,380.0,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,2006,1
21,0,0,2,2,3,3,1,1,1,4,3,7,4,1,3,3,0,4,RM,Pave,Grvl,Bnk,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,FuseF,Attchd,N,None,WD,Normal,22,45,57.0,7449,7,7,1930,1950,0.0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,6,2007,1
22,0,0,3,2,4,3,1,1,1,4,3,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,23,20,75.0,9742,8,5,2002,2002,281.0,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,9,2008,1
23,0,0,2,2,4,3,1,6,1,2,2,7,3,1,3,3,0,0,RM,Pave,No alley access,Lvl,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,24,120,44.0,4224,5,7,1976,1976,0.0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,2007,1
24,1,0,2,3,3,3,2,3,5,4,3,7,3,1,3,3,0,3,RL,Pave,No alley access,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,25,20,,8246,5,8,1968,2001,0.0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,2010,1
25,0,0,3,2,4,3,1,1,1,4,3,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,26,20,110.0,14230,8,5,2007,2007,640.0,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,2009,1
26,0,0,2,2,3,3,2,4,3,2,3,7,0,1,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,27,20,60.0,7200,5,7,1951,2000,0.0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,5,2010,1
27,0,0,3,2,5,3,1,6,1,4,3,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,28,20,98.0,11478,8,5,2007,2008,200.0,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,5,2010,1
28,1,0,2,2,3,3,4,4,1,2,2,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,29,20,47.0,16321,5,6,1957,1997,0.0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,12,2006,1
29,1,0,2,2,3,3,1,1,1,1,1,7,0,1,2,3,0,0,RM,Pave,No alley access,Lvl,AllPub,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,SBrkr,Detchd,Y,None,WD,Normal,30,30,60.0,6324,4,6,1927,1950,0.0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,5,2008,1
30,0,0,2,1,3,3,1,1,1,2,2,7,0,1,3,2,0,3,C (all),Pave,Pave,Lvl,AllPub,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,BrkTil,GasA,N,SBrkr,Detchd,N,None,WD,Normal,31,70,50.0,8500,4,4,1920,1950,0.0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,2008,1
31,1,0,2,2,3,3,1,1,1,3,3,7,0,1,3,3,0,3,RL,Pave,No alley access,Lvl,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,32,20,,8544,5,6,1966,2006,0.0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,6,2008,1
32,0,0,3,2,5,3,3,1,1,4,3,7,0,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,33,20,85.0,11049,8,5,2007,2007,0.0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,1,2008,1
33,1,0,2,2,3,3,1,3,1,3,3,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,34,20,70.0,10552,5,5,1959,1959,0.0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,2010,1
34,0,0,4,2,5,3,1,6,1,4,4,7,4,3,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,35,120,60.0,7313,9,5,2005,2005,246.0,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,8,2007,1
35,0,0,3,2,5,3,3,1,1,4,3,7,4,3,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,WD,Normal,36,60,108.0,13418,8,5,2004,2005,132.0,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,2006,1
36,0,0,2,2,4,3,1,1,1,4,2,7,0,1,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,37,20,112.0,10859,5,5,1994,1995,0.0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,2009,1
37,0,0,2,2,3,3,1,3,1,3,2,7,3,3,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,38,20,74.0,8532,5,6,1954,1990,650.0,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,2009,1
38,0,0,2,3,3,3,1,6,1,2,3,7,0,1,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Abnorml,39,20,68.0,7922,5,7,1953,2007,0.0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,2010,1
39,0,0,2,2,0,0,0,0,0,2,1,7,0,0,0,0,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,PConc,GasA,N,FuseP,No Garage,N,None,WD,AdjLand,40,90,65.0,6040,4,5,1955,1955,0.0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,2008,0
40,0,0,2,2,3,3,1,3,1,4,2,7,3,2,3,3,0,2,RL,Pave,No alley access,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,41,20,84.0,8658,6,5,1965,1965,101.0,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,2006,1
41,0,0,2,3,3,3,4,4,1,3,2,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Attchd,P,None,WD,Normal,42,20,115.0,16905,5,6,1959,1959,0.0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,2007,1
42,1,0,2,2,4,3,3,5,2,3,3,7,0,2,3,4,0,3,RL,Pave,No alley access,Lvl,AllPub,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,43,85,,9180,5,7,1983,1983,0.0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,2007,1
43,1,0,2,2,4,3,3,2,4,2,2,7,0,1,3,3,0,3,RL,Pave,No alley access,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,44,20,,9200,5,6,1975,1980,0.0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,2008,1
44,0,0,2,2,3,3,1,5,4,4,2,7,0,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,CBlock,GasA,Y,FuseA,Attchd,Y,None,WD,Normal,45,20,70.0,7945,5,6,1959,1959,0.0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,2006,1
45,0,0,4,2,5,3,1,6,1,4,4,7,4,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,46,120,61.0,7658,9,5,2005,2005,412.0,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,2010,1
46,1,0,3,2,5,3,1,6,1,4,3,7,5,2,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,47,50,48.0,12822,7,5,2003,2003,0.0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,2009,1
47,0,0,3,2,4,3,3,6,1,4,3,7,0,2,3,3,0,0,FV,Pave,No alley access,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,48,20,84.0,11096,8,5,2006,2006,0.0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,2007,1
48,0,0,2,2,3,3,1,1,1,3,2,7,0,0,0,0,0,0,RM,Pave,No alley access,Lvl,AllPub,Inside,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,No Garage,N,None,New,Partial,49,190,33.0,4456,4,5,1920,2008,0.0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,2009,0
49,0,0,2,2,3,3,1,4,1,4,2,7,0,1,3,3,0,3,RL,Pave,No alley access,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,50,20,66.0,7742,5,7,1966,1966,0.0,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,1,2007,1
50,2,0,2,2,4,3,3,6,1,3,2,7,0,3,3,3,0,0,RL,Pave,No alley access,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,51,60,,13869,6,6,1997,1997,0.0,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,2,388,0,75,0,0,0,0,0,7,2007,1
51,0,0,2,2,3,3,1,1,1,2,2,7,4,1,3,3,0,3,RM,Pave,No alley access,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,SBrkr,Detchd,Y,Shed,WD,Normal,52,50,52.0,6240,6,6,1934,1950,0.0,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,2,528,112,0,0,0,0,0,400,9,2006,1
52,2,1,1,2,4,3,4,2,6,2,2,7,0,1,3,3,0,0,RM,Grvl,No alley access,Bnk,AllPub,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,N,SBrkr,CarPort,Y,None,WD,Normal,53,90,110.0,8472,5,5,1963,1963,0.0,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,2,516,106,0,0,0,0,0,0,5,2010,1
53,1,0,3,2,5,3,4,6,1,3,3,7,4,3,3,3,0,0,RL,Pave,No alley access,Low,AllPub,Inside,Veenker,Norm,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,54,20,68.0,50271,9,5,1981,1987,0.0,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,11,2006,1
54,0,1,2,2,3,3,1,5,1,2,2,6,3,1,3,3,0,3,RL,Pave,No alley access,Bnk,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,55,80,60.0,7134,5,5,1955,1955,0.0,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,2,572,0,50,0,0,0,0,0,2,2007,1
